TEAM,Duke,N Dakota St,VA Commonwealth,UCF,Mississippi St,Liberty,Virginia Tech,St Louis,Maryland,Belmont,LSU,Yale,Louisville,Minnesota,Michigan St,Bradley,Gonzaga,F Dickinson,Syracuse,Baylor,Marquette,Murray St,Florida St,Vermont,Buffalo,Arizona St,Texas Tech,N Kentucky,Nevada,Florida,Michigan,Montana,Virginia,Gardner Webb,Mississippi,Oklahoma,Wisconsin,Oregon,Kansas St,UC Irvine,Villanova,St Mary's CA,Purdue,Old Dominion,Cincinnati,Iowa,Tennessee,Colgate,North Carolina,Iona,Utah St,Washington,Auburn,New Mexico St,Kansas,Northeastern,Iowa St,Ohio St,Houston,Georgia St,Wofford,Seton Hall,Kentucky,Abilene Chr
Duke,0.5,0.9987,0.88,0.9208,0.8041,0.9661,0.7767,0.9559,0.8057,0.9551,0.7945,0.9882,0.7385,0.9039,0.5441,0.995,0.495,0.9988,0.8618,0.8982,0.8465,0.9666,0.7723,0.9752,0.8548,0.9315,0.7143,0.9818,0.835,0.8489,0.5861,0.9939,0.516,0.9969,0.8927,0.9006,0.734,0.8757,0.8479,0.9712,0.8796,0.8725,0.7089,0.969,0.8795,0.8826,0.6565,0.9869,0.5106,0.9982,0.9083,0.8882,0.7703,0.9391,0.84,0.972,0.8013,0.8877,0.7441,0.9874,0.9178,0.9374,0.6357,0.998
N Dakota St,0.0013,0.5,0.0583,0.0919,0.0275,0.1742,0.0212,0.1472,0.0279,0.1455,0.0251,0.2854,0.0148,0.0756,0.0022,0.3744,0.0013,0.5062,0.0483,0.0709,0.0415,0.1757,0.0204,0.2066,0.045,0.1049,0.0118,0.2395,0.037,0.0425,0.0034,0.3544,0.0016,0.4209,0.0668,0.0728,0.0142,0.0557,0.0421,0.191,0.0581,0.0539,0.0112,0.1833,0.058,0.0599,0.0068,0.2744,0.0015,0.472,0.0794,0.0636,0.02,0.1159,0.0389,0.1942,0.0268,0.0633,0.0156,0.2785,0.0887,0.1133,0.0055,0.4629
VA Commonwealth,0.12,0.9417,0.5,0.5807,0.3869,0.7111,0.3531,0.6749,0.389,0.6724,0.3748,0.823,0.3102,0.5448,0.1469,0.8841,0.1172,0.9438,0.4696,0.5334,0.4458,0.713,0.348,0.7491,0.4585,0.606,0.2852,0.7827,0.4289,0.4495,0.1757,0.8721,0.1294,0.9089,0.5229,0.5382,0.3055,0.4925,0.448,0.7314,0.4994,0.4871,0.2799,0.7223,0.4991,0.5046,0.2315,0.8139,0.1262,0.9313,0.5537,0.5147,0.3456,0.6257,0.4362,0.7352,0.3834,0.5138,0.3163,0.8174,0.574,0.6211,0.214,0.9276
UCF,0.0792,0.9081,0.4193,0.5,0.3102,0.6358,0.2787,0.5974,0.3122,0.5948,0.2988,0.7603,0.2393,0.4638,0.1001,0.8333,0.0771,0.911,0.3895,0.4524,0.3664,0.6379,0.2739,0.6771,0.3787,0.5258,0.2169,0.7143,0.3502,0.3699,0.1232,0.8185,0.0864,0.8645,0.442,0.4572,0.2351,0.4119,0.3685,0.6578,0.4187,0.4066,0.2122,0.6479,0.4184,0.4238,0.1699,0.7498,0.0839,0.8939,0.4728,0.4338,0.2718,0.546,0.3572,0.6619,0.3069,0.433,0.2449,0.7538,0.4932,0.5413,0.155,0.889
Mississippi St,0.1959,0.9725,0.6131,0.6898,0.5,0.8054,0.4649,0.7745,0.5021,0.7723,0.4874,0.8942,0.4192,0.6561,0.2306,0.9371,0.1922,0.9737,0.5833,0.6453,0.5597,0.807,0.4595,0.8368,0.5724,0.7131,0.3921,0.8635,0.5428,0.5634,0.2662,0.929,0.2082,0.953,0.6352,0.6498,0.4142,0.6058,0.5619,0.8224,0.6125,0.6005,0.3863,0.8148,0.6123,0.6175,0.3319,0.8874,0.204,0.9665,0.6645,0.6273,0.457,0.7309,0.5501,0.8254,0.4964,0.6265,0.4258,0.89,0.6835,0.7267,0.3117,0.9644
Liberty,0.0339,0.8258,0.2889,0.3642,0.1946,0.5,0.1691,0.4604,0.1962,0.4577,0.1853,0.6363,0.1387,0.3299,0.0454,0.7244,0.0327,0.8302,0.2623,0.3193,0.242,0.5022,0.1653,0.5437,0.2528,0.3891,0.1221,0.5843,0.2281,0.2451,0.0591,0.7058,0.0378,0.7649,0.3097,0.3238,0.1355,0.2823,0.2439,0.5231,0.2884,0.2775,0.1186,0.5127,0.2882,0.293,0.0891,0.6242,0.0364,0.8054,0.3383,0.3022,0.1637,0.4089,0.2341,0.5274,0.1919,0.3014,0.1429,0.6288,0.3576,0.4042,0.0791,0.7985
Virginia Tech,0.2233,0.9788,0.6469,0.7213,0.5351,0.8309,0.5,0.802,0.5373,0.8,0.5226,0.9117,0.4541,0.6888,0.26,0.9491,0.2193,0.9798,0.6177,0.6783,0.5944,0.8324,0.4946,0.8599,0.6069,0.7437,0.4266,0.8842,0.5776,0.598,0.2973,0.9422,0.2363,0.9626,0.6685,0.6827,0.449,0.6397,0.5965,0.8466,0.6463,0.6346,0.4207,0.8396,0.6461,0.6512,0.3652,0.9057,0.2319,0.9739,0.697,0.6608,0.4921,0.7608,0.5849,0.8494,0.5315,0.66,0.4607,0.908,0.7153,0.7568,0.3444,0.9721
St Louis,0.0441,0.8528,0.3251,0.4026,0.2255,0.5396,0.198,0.5,0.2273,0.4973,0.2155,0.6737,0.1647,0.3675,0.0581,0.7583,0.0427,0.8567,0.2972,0.3566,0.276,0.5418,0.1939,0.583,0.2873,0.428,0.1463,0.623,0.2612,0.2792,0.0743,0.7407,0.0489,0.7965,0.3466,0.3612,0.1612,0.3182,0.2779,0.5627,0.3245,0.3132,0.1425,0.5523,0.3243,0.3294,0.1091,0.662,0.0472,0.834,0.3761,0.3388,0.1921,0.4482,0.2676,0.5669,0.2226,0.338,0.1693,0.6665,0.3959,0.4434,0.0977,0.8277
Maryland,0.1943,0.9721,0.611,0.6878,0.4979,0.8038,0.4627,0.7727,0.5,0.7706,0.4853,0.893,0.4171,0.6541,0.2288,0.9363,0.1906,0.9733,0.5812,0.6432,0.5576,0.8054,0.4573,0.8353,0.5702,0.7112,0.39,0.8622,0.5406,0.5612,0.2643,0.9281,0.2065,0.9523,0.6332,0.6478,0.4121,0.6037,0.5597,0.8209,0.6104,0.5984,0.3842,0.8132,0.6102,0.6155,0.3299,0.8862,0.2024,0.966,0.6625,0.6253,0.4549,0.729,0.548,0.8239,0.4942,0.6244,0.4237,0.8889,0.6815,0.7249,0.3097,0.9639
Belmont,0.0449,0.8545,0.3276,0.4052,0.2277,0.5423,0.2,0.5027,0.2294,0.5,0.2176,0.6762,0.1666,0.3701,0.059,0.7605,0.0435,0.8584,0.2996,0.3591,0.2783,0.5444,0.1959,0.5856,0.2897,0.4307,0.148,0.6256,0.2635,0.2816,0.0754,0.7429,0.0497,0.7985,0.3491,0.3637,0.163,0.3206,0.2802,0.5653,0.327,0.3157,0.1442,0.5549,0.3268,0.3318,0.1105,0.6645,0.048,0.8358,0.3787,0.3413,0.1941,0.4508,0.2699,0.5695,0.2247,0.3405,0.1712,0.669,0.3985,0.446,0.099,0.8296
